date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,OT
2022-12-20,23.8,13.1,17,20.1,14.9,93,68,83,89,79,4.8,1,2.9,2,2.7,693,452,606,561,637,41.3,30.9,33.9,30.1,15.5,21.15,2759.68
2022-12-21,25.3,13.4,17.1,20.5,14.8,91,66,79,83,77,5.2,1.2,3.1,3.1,3,693,452,606,685,622,37.7,30.2,34.5,30.6,15.2,16,1854.92
2022-12-22,25.6,13.2,17,20.4,14.9,93,61,76,83,72,6,0.9,3.4,3.2,3.6,649,311,511,418,575,43.1,32.5,36.2,31.2,15.15,15.5,2790
2022-12-23,25.5,12.7,17.2,20.8,14.7,94,56,73,83,67,6.8,0.7,3.8,3.2,4.2,644,262,501,392,576,43.1,32.2,34.9,31.8,15.15,15.5,5946
2022-12-24,26.4,13.3,17.2,21,14.7,93,60,75,81,71,6.1,0.9,3.6,3.4,3.6,679,258,525,409,605,50.5,30.3,35.7,31.7,15.2,15.55,6328
2022-12-25,25.4,13.1,17.2,20.8,14.8,92,62,81,82,81,5.7,1.1,2.8,3.3,2.4,694,277,543,429,620,37.7,23.1,33.8,31,15.15,15.55,5813
2022-12-26,25.5,12.3,17.3,20.7,15,92,62,77,83,73,6.2,1,3.4,3.3,3.5,929,387,626,584,654,35.4,35.3,32.2,32.8,15.3,16.05,7151
2022-12-27,22.8,11.6,16.3,18.5,14.8,91,57,77,82,74,6.2,1,3.2,3,3.3,904,529,660,557,662,43.1,35.8,36.6,33.7,15.45,16.05,5954
2022-12-28,25.5,11.7,17.6,20.7,15.5,89,59,75,82,70,5.9,1.3,3.7,3.3,4,722,278,565,467,632,42.8,40.9,34.1,33.8,15.1,15.3,5488
2022-12-29,25.3,13.8,17.5,20.2,15.7,92,61,75,83,70,5.5,1.3,3.6,3,4,748,293,572,502,621,41.2,42.5,39,33.1,15.3,15.5,5742
2022-12-30,26.4,13.4,18,21.2,15.8,89,64,76,81,73,6.2,1.6,3.7,3.7,3.7,821,382,612,543,660,41.1,43.9,34.7,43.9,15.3,15.2,4816
2022-12-31,25.7,13.8,17.9,21.1,15.7,91,67,80,83,78,5.4,1.1,3.1,3.3,3,739,318,603,500,674,43.1,42.4,36.1,42.3,15.35,16,6777
2023-1-1,25.4,13.7,17.7,20.6,15.8,92,72,84,85,83,5.1,1,2.5,2.8,2.3,737,289,577,520,633,40.8,40.8,36.8,39.2,15.25,15.45,7036
2023-1-2,25.8,13.3,17.6,21.1,15.2,92,69,83,85,82,5,1.1,2.6,3,2.3,689,306,560,470,622,33.9,33.3,35.4,40.2,15.25,15.45,7429
2023-1-3,25.7,12.9,18,21.1,15.8,93,73,86,86,87,4.9,0.9,2.2,2.8,1.8,765,311,607,488,689,37.1,31.2,35.8,38.5,15.3,15.5,6620
2023-1-4,23.5,12.3,16.6,20.1,14.2,93,81,87,86,88,3.8,0.9,1.8,2.4,1.4,779,342,622,553,671,29.4,24,32.9,40.6,16.25,16.45,6778
2023-1-5,23.8,13.1,16.9,20,14.7,96,73,89,86,91,4.8,0.4,1.8,2.6,1.2,772,333,648,539,724,35.8,25.5,35.8,39.5,15.1,15.45,5013
