"日期
/Date",温室最高温度/Tmax (℃),温室最低温度/Tmin (℃),温室24小时均温/T24hs-Avg (℃),温室日间均温/Td-Avg (℃),温室夜间均温/Tn-Avg (℃),最高相对湿度/RHmax (%),最低相对湿度/RHmin (%),24小时平均相对湿度/RH24hs-Avg (%),日间平均相对湿度/RHd-Avg (%),夜间平均相对湿度/RHn-Avg (%),"最高湿度差
/HDmax (g/m3)","最低湿度差
/HDmin (g/m3)","24小时平均湿度差
/HD24hs-Avg (g/m3)","日间平均湿度差
/HDd-Avg (g/m3)","夜间平均湿度差
/HDn-Avg (g/m3)","最高CO2浓度
/CO2 Max (ppm)","最低CO2浓度
/CO2 Min (ppm)","24小时平均CO2浓度
/CO2 24hs-Avg (ppm)","日间平均CO2浓度
/CO2 d-Avg (ppm)","夜间平均CO2浓度
/CO2 n-Avg (ppm)",轨道加热日间管温/Railpipe Td (℃),轨道加热夜间管温/Railpipe Tn (℃),作物加热日间管温/Growpipe Td (℃),作物加热夜间管温/Growpipe Tn (℃),"遮阴幕布启用时长
/Shading Screen Duration (hs)","保温幕布启用时长
/Energy Screen Duration (hs)",OT
12/20/2022,23.8 ,13.1 ,17.0 ,20.1 ,14.9 ,93.0 ,68.0 ,83.0 ,89.0 ,79.0 ,4.8 ,1.0 ,2.9 ,2.0 ,2.7 ,693 ,452 ,606 ,561 ,637 ,41.3 ,30.9 ,33.9 ,30.1 ,15.50 ,21.15 ,2759.68
12/21/2022,25.3 ,13.4 ,17.1 ,20.5 ,14.8 ,91.0 ,66.0 ,79.0 ,83.0 ,77.0 ,5.2 ,1.2 ,3.1 ,3.1 ,3.0 ,693 ,452 ,606 ,685 ,622 ,37.7 ,30.2 ,34.5 ,30.6 ,15.20 ,16.00 ,1854.92
12/22/2022,25.6 ,13.2 ,17.0 ,20.4 ,14.9 ,93.0 ,61.0 ,76.0 ,83.0 ,72.0 ,6,0.9 ,3.4 ,3.2 ,3.6 ,649 ,311 ,511 ,418 ,575 ,43.1 ,32.5 ,36.2 ,31.2 ,15.15 ,15.50 ,2790
12/23/2022,25.5 ,12.7 ,17.2 ,20.8 ,14.7 ,94.0 ,56.0 ,73.0 ,83.0 ,67.0 ,6.8 ,0.7 ,3.8 ,3.2 ,4.2 ,644 ,262 ,501 ,392 ,576 ,43.1 ,32.2 ,34.9 ,31.8 ,15.15 ,15.50 ,5946
12/24/2022,26.4 ,13.3 ,17.2 ,21.0 ,14.7 ,93.0 ,60.0 ,75.0 ,81.0 ,71.0 ,6.1 ,0.9 ,3.6 ,3.4 ,3.6 ,679 ,258 ,525 ,409 ,605 ,50.5 ,30.3 ,35.7 ,31.7 ,15.20 ,15.55 ,6328
12/25/2022,25.4 ,13.1 ,17.2 ,20.8 ,14.8 ,92,62.0 ,81.0 ,82.0 ,81.0 ,5.7 ,1.1 ,2.8 ,3.3 ,2.4 ,694 ,277 ,543 ,429 ,620 ,37.7 ,23.1 ,33.8 ,31.0 ,15.15 ,15.55 ,5813
12/26/2022,25.5 ,12.3 ,17.3 ,20.7 ,15.0 ,92.0 ,62.0 ,77.0 ,83.0 ,73.0 ,6.2 ,1.0 ,3.4 ,3.3 ,3.5 ,929 ,387 ,626 ,584 ,654 ,35.4 ,35.3 ,32.2 ,32.8 ,15.30 ,16.05 ,7151
12/27/2022,22.8 ,11.6 ,16.3 ,18.5 ,14.8 ,91.0 ,57.0 ,77.0 ,82.0 ,74.0 ,6.2 ,1.0 ,3.2 ,3.0 ,3.3 ,904 ,529 ,660 ,557 ,662 ,43.1 ,35.8 ,36.6 ,33.7 ,15.45 ,16.05 ,5954
12/28/2022,25.5 ,11.7 ,17.6 ,20.7 ,15.5 ,89.0 ,59.0 ,75.0 ,82.0 ,70.0 ,5.9 ,1.3 ,3.7 ,3.3 ,4.0 ,722 ,278 ,565 ,467 ,632 ,42.8 ,40.9 ,34.1 ,33.8 ,15.10 ,15.30 ,5488
12/29/2022,25.3 ,13.8 ,17.5 ,20.2 ,15.7 ,92.0 ,61.0 ,75.0 ,83.0 ,70.0 ,5.5 ,1.3 ,3.6 ,3.0 ,4.0 ,748 ,293 ,572 ,502 ,621 ,41.2 ,42.5 ,39.0 ,33.1 ,15.30 ,15.50 ,5742
12/30/2022,26.4 ,13.4 ,18.0 ,21.2 ,15.8 ,89.0 ,64.0 ,76.0 ,81.0 ,73.0 ,6.2 ,1.6 ,3.7 ,3.7 ,3.7 ,821 ,382 ,612 ,543 ,660 ,41.1 ,43.9 ,34.7 ,43.9 ,15.30 ,15.20 ,4816
12/31/2022,25.7 ,13.8 ,17.9 ,21.1 ,15.7 ,91.0 ,67.0 ,80.0 ,83.0 ,78.0 ,5.4 ,1.1 ,3.1 ,3.3 ,3.0 ,739 ,318 ,603 ,500 ,674 ,43.1 ,42.4 ,36.1 ,42.3 ,15.35 ,16.00 ,6777
1/1/2023,25.4 ,13.7 ,17.7 ,20.6 ,15.8 ,92.0 ,72.0 ,84.0 ,85.0 ,83.0 ,5.1 ,1.0 ,2.5 ,2.8 ,2.3 ,737 ,289 ,577 ,520 ,633 ,40.8 ,40.8 ,36.8 ,39.2 ,15.25 ,15.45 ,7036
1/2/2023,25.8 ,13.3 ,17.6 ,21.1 ,15.2 ,92.0 ,69.0 ,83.0 ,85.0 ,82.0 ,5.0 ,1.1 ,2.6 ,3.0 ,2.3 ,689 ,306 ,560 ,470 ,622 ,33.9 ,33.3 ,35.4 ,40.2 ,15.25 ,15.45 ,7429
1/3/2023,25.7 ,12.9 ,18.0 ,21.1 ,15.8 ,93.0 ,73.0 ,86.0 ,86.0 ,87.0 ,4.9 ,0.9 ,2.2 ,2.8 ,1.8 ,765 ,311 ,607 ,488 ,689 ,37.1 ,31.2 ,35.8 ,38.5 ,15.30 ,15.50 ,6620
1/4/2023,23.5,12.3,16.6,20.1,14.2,93,81,87,86,88,3.8,0.9,1.8,2.4,1.4,779 ,342 ,622 ,553 ,671 ,29.4 ,24.0 ,32.9 ,40.6 ,16.25 ,16.45 ,6778
1/5/2023,23.8 ,13.1 ,16.9 ,20.0 ,14.7 ,96.0 ,73.0 ,89.0 ,86.0 ,91.0 ,4.8 ,0.4 ,1.8 ,2.6 ,1.2 ,772 ,333 ,648 ,539 ,724 ,35.8,25.5 ,35.8 ,39.5 ,15.10 ,15.45 ,5013
1/6/2023,25.9 ,13.4 ,17.4 ,21.3 ,14.7 ,94.0 ,75.0 ,88.0 ,84.0 ,90.0 ,5.1 ,0.7 ,2.0 ,3.2 ,1.2 ,761 ,282 ,569 ,483 ,629 ,38.5 ,23.1 ,36.7 ,39.3 ,14.50 ,15.15 ,5216
1/7/2023,26.2 ,12.9 ,18.0 ,21.4 ,15.6 ,93.0 ,66.0 ,86.0 ,81.0 ,90.0 ,6.8 ,0.9 ,2.3 ,3.6 ,1.3 ,737 ,347 ,590 ,492 ,659 ,31.5 ,30.4 ,34.0 ,43.2 ,13.05 ,13.20 ,4909
1/8/2023,24.4 ,13.2 ,17.1 ,20.5 ,14.7 ,92.0 ,72.0 ,87.0 ,84.0 ,89.0 ,5.1 ,0.9 ,2.0 ,3.0 ,1.3 ,735 ,377 ,621 ,531 ,684 ,29.6 ,25.2 ,34.1 ,42.5 ,13.55 ,14.20 ,4258
1/9/2023,25.5,11.4 ,16.7 ,20.4 ,14.2 ,91.0 ,69.0 ,82.0 ,81.0 ,84.0 ,6.1 ,1.1 ,2.7 ,3.7 ,2.0 ,1082 ,404 ,619 ,610 ,626 ,39.6 ,26.9 ,36.2 ,42.2 ,13.40 ,14.00 ,4911
1/10/2023,25.4 ,13.3,16.9 ,21.0 ,14.0 ,92.0 ,60.0 ,85.0 ,83.0 ,86.0 ,5.7 ,1.1 ,2.3 ,3.3 ,1.6 ,785 ,389 ,631 ,582 ,665 ,36.6 ,25.7 ,35.0 ,41.8 ,13.35 ,13.55 ,4785
1/11/2023,23.8 ,12.7 ,16.7 ,19.9 ,14.5 ,93.0 ,75.0 ,87.0 ,85.0 ,89.0 ,4.4 ,0.8 ,1.9 ,2.7 ,1.3 ,754 ,488 ,641 ,618 ,657 ,32.7 ,23.6 ,32.3 ,41.0 ,13.30 ,13.55 ,5726
1/12/2023,23.4 ,13.8 ,16.8 ,19.8 ,14.7 ,97.0 ,79.0 ,92.0 ,87.0 ,95.0 ,4.2 ,0.4 ,1.3 ,2.3 ,0.6 ,751 ,548 ,663 ,629 ,688 ,32.3 ,21.3 ,32.1 ,22.0 ,13.30 ,13.50 ,6922
1/13/2023,21.1 ,11.6 ,15.5 ,18.2 ,13.6 ,96.0 ,83.0 ,91.0 ,92.0 ,91.0 ,2.3 ,0.5 ,1.2,1.2 ,1.1 ,755 ,627 ,687 ,713 ,669 ,35.0 ,26.7 ,34.9 ,28.0 ,15.25 ,19.35 ,6994
1/14/2023,21.2 ,9.7 ,15.3 ,17.5 ,13.7 ,94.0 ,68.0 ,80.0 ,86.0 ,76.0 ,4.1 ,0.6 ,2.6 ,2.1 ,2.9 ,642 ,279 ,509 ,447 ,553 ,43.9 ,33.6 ,39.2 ,31.5,14.40 ,17.45 ,6570
1/15/2023,25.5 ,11.6 ,16.7 ,20.3 ,14.1 ,91.0 ,63.0 ,77.0 ,81.0 ,74.0 ,5.4 ,1.0 ,3.3 ,3.5 ,3.1 ,675 ,449 ,581 ,540 ,611 ,38.8 ,35.4 ,33.8 ,32.8 ,14.00 ,14.35 ,6440
1/16/2023,24.7 ,12.8 ,16.9 ,20.4 ,14.4 ,97.0 ,73.0 ,88.0 ,82.0 ,92.0 ,5.0 ,0.3 ,1.9 ,3.3 ,1.0 ,709 ,507 ,637 ,614 ,654 ,36.5 ,24.0 ,36.9 ,24.8 ,15.00 ,15.20 ,4909
